Scenario_ID,Minute_0,Minute_1,Minute_2,Minute_3,Minute_4,Minute_5,Minute_6,Minute_7,Minute_8,Minute_9,Minute_10,Minute_11,Minute_12,Minute_13,Minute_14,Minute_15,Minute_16,Minute_17,Minute_18,Minute_19,Minute_20,Minute_21,Minute_22,Minute_23,Minute_24,Minute_25,Minute_26,Minute_27,Minute_28,Minute_29,Minute_30,Minute_31,Minute_32,Minute_33,Minute_34,Minute_35,Minute_36,Minute_37,Minute_38,Minute_39,Minute_40,Minute_41,Minute_42,Minute_43,Minute_44,Minute_45,Minute_46,Minute_47,Minute_48,Minute_49,Minute_50,Minute_51,Minute_52,Minute_53,Minute_54,Minute_55,Minute_56,Minute_57,Minute_58,Minute_59
0,362.3252451619977,393.8752466106919,410.1148225374902,417.0209164312828,392.9422212622533,368.8618376857875,337.9276905375615,363.56002074180697,370.6380715638316,385.2031520095548,351.64406661026095,384.5377562616005,407.80874111763006,387.6724788651094,365.40022656960645,343.2385422593468,329.5354992665144,331.2684494807711,326.5046007857192,311.8906405995821,319.72034323014867,294.4849134757916,279.9350388732569,270.5803679038153,267.5052667990078,287.46758409651875,266.44474884760393,267.44115953655677,273.91017935689973,242.16170824729957,249.68984788040027,226.62653653851066,220.0,251.42198760773334,284.0162299229525,305.6040442911048,291.92700813324075,263.7640561136876,276.6603679695386,272.4710425313107,246.01371897044518,245.6761026782341,220.0,248.65242814551476,231.76702685751593,243.14358676229466,229.96336208855342,231.36812357100018,234.63784312502975,220.0,252.8709239435191,272.1302215787971,302.8951474882903,330.53306201822573,337.3860605350017,366.9172569866199,338.11173213025427,316.8305324995944,284.9964427233321,272.7695658767606
1,367.6973700820032,351.69180230617593,374.70342794681096,364.6761608153622,349.34157649347884,352.3303023145562,327.1949980627896,348.3487867155724,318.56733177315635,352.64941733519254,371.7065511859586,350.61664889335066,316.00319709200284,338.08549708384123,352.56551115317444,368.59601291604355,387.58493718405975,357.7680628054461,347.8606638035452,320.9714979703043,346.38873778159586,355.0196066595249,343.1824683992104,312.63155291923204,299.4003154393284,287.16314798120067,303.23558046486517,312.86460345973006,339.96949544007293,338.02454020140937,311.3961374170905,326.3232725227001,344.5782259258829,348.86762975574766,367.8353323525669,367.4010240980743,368.99232215481385,363.92019343991234,330.699532311999,303.25193220153034,270.45197519960175,280.0007039880664,267.00562266340927,267.6055710449385,296.135224219765,278.5856802601863,272.3124848726804,290.2010645706938,271.21693615510736,241.60552984312287,226.88813154708663,220.0,250.0788356639801,271.6472622334893,280.98552518921895,306.9877665023592,328.2448118852972,306.3047160073197,333.7838459016182,336.5378028357137
2,526.8272589623438,554.5536499569882,541.8138932050188,514.5175279219561,495.47298929989205,490.37053450372997,512.6315681183045,537.8827089462485,503.36935808343185,504.12166926386146,498.340439484276,478.8879862172271,452.2785619305849,440.9116239288388,471.91530320271517,459.539508444168,460.8548519662036,475.0661790888661,465.52025125541667,498.5449970458839,530.9163076918317,513.5410683996072,513.3484638120742,499.40994549924807,484.3487801056708,451.9308664204881,459.60036979908085,459.78790142510115,428.3914140126004,412.8966665091632,441.47527852682896,423.24461087351705,398.38725191990267,397.64894513933206,431.6444769270741,413.5883459328791,425.6378342512906,443.9512073243008,425.5858354037688,441.56097980659894,432.30579909694666,441.5672072384972,450.9142869917598,453.4185148769929,424.73879878080146,448.2099734720481,435.6645780200696,413.7208737480594,381.57513365689283,387.93763968006976,400.3671450090295,366.5282930339794,367.37480711492907,348.2295113787847,358.3916067074462,335.59725673779565,348.96289840496826,341.03437264600586,371.6054718575773,346.23193794779684
3,349.60521339909826,322.5483598859395,352.2769131654389,378.6906679021076,361.7465818421685,372.945465064561,395.15101907864613,399.0150758906085,401.09061637552895,383.0202767385606,354.53747048497354,382.34257354170643,410.3718375431396,419.6889395522683,408.4210249256774,397.86569514856365,413.6825926694804,441.48031086616083,468.57636056471904,488.1676487747527,498.1098640055528,468.9996615552062,445.3136715418292,473.21246473872475,480.66249891489605,446.3062925280601,418.40930052868237,429.8544243662463,395.2087352354816,371.46529883470646,374.8766640903675,388.309327928856,398.94661609403806,379.64546775627724,394.49801325060474,376.1054493753808,363.8834282465295,381.1378266047912,391.6121295380962,416.0577682726887,427.0906707337127,431.8722729671957,403.4295067151622,394.1696129293225,377.7337786670433,359.81305370357916,392.92379253625035,385.4406332629236,412.88389212532155,422.06359594513,442.70038719304534,442.8849837104088,448.26825563425393,447.7444942015744,426.41150334743753,441.9831514157429,426.6372167866028,393.33933443680456,403.5223951503063,380.92014270879974
4,577.3742620541075,600.0,600.0,590.9111090178811,556.9930721749018,586.9753715560427,581.9482619382546,600.0,600.0,600.0,585.611422444871,577.5682634470057,600.0,587.1845403609394,564.0490326289658,568.0251210010504,598.5559551923051,600.0,600.0,571.8023545639538,579.8528604328957,600.0,574.8058810665567,576.0889567320182,600.0,600.0,600.0,600.0,590.1643805853829,575.7158096838974,597.3710905673934,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,588.6596609796075,579.9504676644035,551.5292034532644,557.0088133229965,524.5247724887685,522.1166337580406,525.101758187571,510.1596458365509,516.5179740763816,483.65299157211507,451.2673647845601,473.84940403073614,464.06274892952456,437.9569848151565,439.5140130189928,458.41356173589554,438.52103366067456,447.1233669680046,418.0976895175683
5,239.63905404407092,241.83387825384128,244.67833676654874,254.2984298714232,270.1248232320095,303.43446879438693,304.5754931754706,292.18244628135784,312.8454799151671,296.8037375035123,292.53173695290684,263.02368364686544,229.79823568594747,262.1836247134022,285.7022331492566,299.42042757581544,293.04713368481436,270.1777360897736,246.12832907674962,228.6453319482713,232.09119847769972,247.1129130667041,258.3267294369453,242.9221022231613,274.7626718695849,291.4154560382887,295.22023971408674,303.0406919504914,297.4126963204367,279.7538655855177,269.671953091106,287.7211808236118,253.7287250276947,226.85380986317884,220.0,220.0,244.8822408807705,259.13829103737214,257.3304590734849,229.17885031905502,228.5919615772333,226.7349855318729,220.0,220.0,220.0,228.10950686365516,237.56606242439022,220.0,220.0,228.81019409999655,229.0297322006027,253.98402108378525,265.0925752971114,241.49798519281148,220.0,229.96934947444208,220.0,226.00429068914244,256.82040758888945,262.103600040201
6,367.5045719584783,377.53474724944306,374.61244958384924,377.8056248359647,408.7081614503214,400.7353460963756,433.01868556404963,461.3932305009741,440.0986099362248,409.9539009974864,382.0083610939063,348.28388888951474,319.89489614242973,332.7053702815747,302.6885756737907,290.01686979435397,314.1581415622158,280.7871770637236,302.79997084494914,287.52980507908717,260.8013430126031,274.57294458809366,283.59894386268553,310.02198480957924,326.4769578758512,347.7206230027906,332.46304308278206,309.8838111473627,327.42684376222275,348.90527551093123,383.24063545097835,377.1238728347782,368.165138840273,387.51404609221277,376.37029390992404,406.52330670217356,431.6121993311844,426.6417812474357,444.2027559928405,462.02075717876824,434.23942799728354,462.4181314648532,462.78579753620323,485.6378201637451,473.04129223588797,500.727918230622,492.9720357420134,458.7306713456343,487.1074096949827,458.49747707001205,445.8494317013411,477.3537693948974,508.89626968052636,514.0369218491564,523.2655267010424,519.6567132395248,505.1814672583894,493.1879854342835,505.2642773596762,522.9304944203138
7,520.8000366158224,541.0733066114411,512.4577338248495,512.0671551540302,481.09626835519526,484.56329011785675,480.47042521399317,507.60971800707415,497.17376888571965,470.36846003565205,445.37787777935057,463.68362199957363,471.9588864317119,444.0374737603072,414.924950188357,428.99278939049543,399.08619983598896,421.6164039863139,436.05335988726864,406.7477745322016,377.68641451816507,411.7511850132473,402.9501407161757,393.8950910108581,415.7910607188833,447.0984611357534,481.11853560335436,498.85500857148025,490.1931795586444,461.0382297275512,480.43851384247176,484.5268113239781,479.22235197126645,507.66715892789796,480.45098268932855,479.9347399896887,445.729495123408,443.53574006299687,412.4769693607255,385.7942234994905,359.0210607738878,369.4657819220123,386.68892347059193,392.5247370273931,424.876815420611,416.1177559872703,401.11760202700054,426.91954100026277,407.5712496966245,439.99682745746725,405.8476406857544,438.7391585552891,406.76035239182943,434.1403703506944,436.07944798673543,470.5869837150865,440.7527432465644,444.5225431546569,477.3737206479938,478.99056973990423
8,459.17148249139973,472.87389072032295,469.6917652540671,478.6208308599515,484.52283269456854,512.6038934289378,480.78514005283984,465.45256332429597,496.9813672096551,524.2998320820193,521.1958047770192,529.6050866231268,514.0217694318061,492.1902506124694,489.64913895826817,479.3837949200919,485.2397227496529,455.6811473372019,488.8887838738335,522.9235359874057,536.7948559687878,539.3216016128763,525.9885347529192,547.9541861324057,560.8853682111773,537.2685539653196,566.0334568798886,588.6110638845105,600.0,600.0,600.0,594.2770125403433,600.0,600.0,568.1653069074332,535.0109951222408,526.3634308037043,548.1021639584326,582.2114930104786,557.7406753877257,564.3298254623751,555.9921854265466,588.8861932735688,600.0,600.0,597.8085211856479,591.8458863492845,575.9843813844338,544.9306661499987,570.4612324878525,592.3643031269579,600.0,600.0,600.0,600.0,600.0,600.0,582.3143671220238,578.8524565937304,552.893615654335
9,582.5393903583144,589.971614769876,570.9766111551185,582.9956590635285,591.2646358955811,581.3360261578799,554.285057611854,566.29518130335,567.7167203666155,586.7790077881102,588.1904528659497,600.0,600.0,600.0,600.0,593.2438006348677,567.6248666264125,534.6396539683462,552.4992618654995,560.9209304602421,575.2065142271877,555.1140055328115,529.6600088238854,495.67813542063715,485.2192645370989,491.51350261692323,483.9705857739045,479.5938303155655,507.88493893012793,497.262821621759,498.2420858629457,518.0977967548257,510.85579151731463,519.4018605332658,544.767320145538,576.2337638015729,551.5289074666056,581.3900412279102,580.8381817434779,563.915288924405,561.0547918610832,594.6570721310666,594.1403387105674,582.1529514306931,591.4910112328639,573.3012045473374,543.6116375149439,517.6332180486894,491.59642677573345,467.22961532159405,441.94751740705277,451.80874954327777,429.5403554512179,418.73706528388834,446.5122539773092,444.6895687957102,456.4186104921821,433.48100147629617,411.9412327929031,379.80203593155665
