,Representative_Date,Cluster_ID,Probability,Hour_1,Hour_2,Hour_3,Hour_4,Hour_5,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23,Hour_24
Scenario_1,2024-01-24,1,0.060109289617486336,28.610001,25.17,20.639999,18.82,17.85,19.549999,25.5,38.73,50.07,49.540001,50.099998,50.759998,39.34,37.34,45.040001,49.950001,50.799999,54.209999,53.32,50.09,42.18,40.040001,42.009998,38.529999
Scenario_2,2024-04-16,2,0.040983606557377046,31.049999,17.790001,6.65,5.49,17.9,36.220001,51.59,74.260002,74.260002,64.809998,52.049999,46.150002,42.959999,42.369999,43.209999,48.529999,61.330002,79.669998,92.919998,113.989998,124.519997,104.459999,90.099998,84.099998
Scenario_3,2024-02-08,3,0.03278688524590164,73.699997,73.199997,72.150002,71.18,70.949997,75.980003,87.080002,110.0,133.149994,113.550003,97.790001,91.870003,89.379997,90.980003,94.900002,94.379997,93.010002,105.529999,97.0,86.059998,83.199997,80.610001,75.599998,65.980003
Scenario_4,2024-01-05,4,0.00273224043715847,88.830002,83.089996,80.0,80.169998,82.489998,88.139999,109.790001,165.009995,299.01001,249.119995,255.860001,211.110001,203.279999,196.979996,197.860001,299.940002,449.640015,526.25,349.950012,181.910004,149.600006,112.82,100.099998,92.870003
Scenario_5,2024-12-12,5,0.00273224043715847,122.25,115.309998,109.970001,107.360001,112.519997,123.669998,176.190002,600.030029,655.640015,646.789978,543.859985,465.380005,405.01001,415.309998,490.359985,668.51001,819.01001,936.309998,674.200012,551.02002,295.660004,169.410004,150.009995,134.759995
Scenario_6,2024-06-24,6,0.06830601092896176,106.18,92.190002,84.93,84.459999,84.959999,97.019997,136.059998,136.0,102.989998,79.339996,53.880001,37.810001,31.809999,29.959999,30.93,47.849998,66.32,82.489998,98.389999,153.300003,209.320007,156.0,116.589996,91.889999
Scenario_7,2024-05-08,7,0.13934426229508196,83.970001,80.839996,80.879997,82.470001,82.480003,81.25,107.480003,118.959999,110.120003,92.410004,85.400002,79.480003,71.18,61.93,62.09,59.889999,64.099998,87.949997,103.949997,124.480003,134.419998,114.650002,96.540001,87.959999
Scenario_8,2024-07-04,8,0.04918032786885246,58.5,30.67,25.639999,17.450001,9.77,10.02,26.469999,30.0,31.629999,23.950001,3.58,2.92,2.74,0.97,0.0,0.0,-0.01,1.51,11.72,29.0,45.07,38.790001,38.68,38.099998
Scenario_9,2024-11-12,9,0.02459016393442623,110.279999,104.620003,102.650002,103.970001,107.470001,117.989998,147.669998,185.570007,204.100006,220.910004,190.270004,171.110001,161.619995,156.470001,174.380005,218.759995,272.700012,317.839996,225.360001,171.369995,149.130005,131.889999,125.190002,115.550003
Scenario_10,2024-02-26,10,0.11475409836065574,57.830002,56.82,55.700001,51.799999,53.299999,57.919998,70.019997,79.900002,81.599998,73.830002,66.650002,65.029999,58.419998,58.189999,61.290001,64.949997,69.989998,77.0,85.32,81.010002,72.209999,65.690002,65.209999,60.759998
Scenario_11,2024-03-28,11,0.08196721311475409,79.089996,72.599998,65.239998,58.099998,57.400002,57.52,60.009998,76.050003,80.919998,63.240002,46.16,37.91,32.91,30.290001,29.469999,24.67,34.990002,44.330002,63.68,62.169998,38.919998,36.099998,31.120001,24.08
Scenario_12,2024-05-05,12,0.05737704918032787,90.580002,84.82,83.519997,80.489998,74.739998,71.129997,62.16,55.080002,41.330002,25.629999,9.33,3.59,3.18,1.94,1.9,4.27,4.9,32.0,86.5,96.239998,111.919998,107.529999,98.739998,88.669998
Scenario_13,2024-01-10,13,0.06830601092896176,89.290001,86.760002,86.730003,86.089996,86.300003,89.050003,108.879997,129.399994,143.0,130.389999,121.470001,109.129997,102.209999,108.199997,115.68,123.800003,134.639999,143.789993,140.0,132.149994,120.0,109.760002,104.489998,96.029999
Scenario_14,2024-04-07,14,0.03825136612021858,11.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.16,-3.01,-3.99,-6.55,-10.0,-5.04,-0.16,6.92,91.459999,108.389999,106.400002,89.949997,77.459999,66.330002
Scenario_15,2024-09-02,15,0.0273224043715847,91.239998,94.769997,92.389999,92.510002,91.589996,101.519997,114.730003,134.949997,131.940002,122.639999,102.830002,90.82,85.050003,81.190002,83.629997,88.239998,93.629997,112.879997,137.779999,255.399994,212.059998,131.899994,114.239998,103.839996
Scenario_16,2024-12-09,16,0.03551912568306011,42.91,45.209999,24.76,18.07,9.62,38.240002,51.66,70.300003,82.139999,67.089996,67.419998,68.769997,70.160004,79.410004,93.32,113.510002,116.050003,118.940002,116.919998,114.190002,99.879997,88.279999,83.580002,74.919998
