id,location_node,prod_cost_per_MWh,up_res_cost_per_MW,down_res_cost_per_MW,capacity_MW,max_up_res_MW,max_down_res_MW
1,1,13.32,1.68,2.32,106.4,48,48
2,2,13.32,1.68,2.32,106.4,48,48
3,7,20.7,3.3,4.67,245,84,84
4,13,20.93,4.07,3.93,413.7,216,216
5,15,26.11,1.89,3.11,42,42,42
6,15,10.52,5.48,3.52,108.5,36,36
7,16,10.52,5.48,3.52,108.5,36,36
8,18,6.02,4.98,5.02,280,60,60
9,21,5.47,5.53,4.97,280,60,60
10,22,7.00,8.00,6.00,210,48,48
11,23,10.52,3.45,2.52,217,72,72
12,23,10.89,5.11,2.89,245,48,48
