from_node, to_node, susceptance, capacity
1,  2  ,  0.0146  ,  175
1,  3  ,  0.2253  ,  175 
1,  5  ,  0.0907  ,  350
2,  4  ,  0.1356  ,  175
2,  6  ,  0.205   ,  175
3,  9  ,  0.1271  ,  175
3,  24 ,  0.084   ,  400
4,  9  ,  0.111   ,  175
5,  10 ,  0.094   ,  350
6,  10 ,  0.0642  ,  175
7,  8  ,  0.0652  ,  350
8,  9  ,  0.1762  ,  175
8,  10 ,  0.1762  ,  175
9,  11 ,  0.084   ,  400
9,  12 ,  0.084   ,  400
10, 11 ,  0.084   ,  400
10, 12 ,  0.084   ,  400
11 , 13,  0.0488  ,  500
11 , 14,  0.0426  ,  500
12 , 13,  0.0488  ,  500
12 , 23,  0.0985  ,  500
13 , 23,  0.0884  ,  250
14 , 16,  0.0594  ,  250
15 , 16,  0.0172  ,  500
15 , 21,  0.0249  ,  400
15 , 24,  0.0529  ,  500
16 , 17,  0.0263  ,  500
16 , 19,  0.0234  ,  500
17 , 18,  0.0143  ,  500
17 , 22,  0.1069  ,  500
18 , 21,  0.0132  ,  1000
19 , 20,  0.0203  ,  1000
20 , 23,  0.0112  ,  1000
21 , 22,  0.0692  ,  500
