from_node,to_node,susceptance,capacity
1,2,0.002,175
1,3,0.002,175 
1,5,  0.002  ,  350
2,  4  ,  0.002  ,  175
2,  6  ,  0.002   ,  175
3,  9  ,  0.002  ,  175
3,  24 ,  0.002   ,  400
4,  9  ,  0.002   ,  175
5,  10 ,  0.002   ,  350
6,  10 ,  0.002  ,  175
7,  8  ,  0.002  ,  350
8,  9  ,  0.002  ,  175
8,  10 ,  0.002  ,  175
9,  11 ,  0.002   ,  400
9,  12 ,  0.002   ,  400
10, 11 ,  0.002   ,  400
10, 12 ,  0.002   ,  400
11 , 13,  0.002  ,  500
11 , 14,  0.002  ,  500
12 , 13,  0.002  ,  500
12 , 23,  0.002  ,  500
13 , 23,  0.002  ,  250
14 , 16,  0.002  ,  290
15 , 16,  0.002  ,  500
15 , 21,  0.002  ,  400
15 , 24,  0.002  ,  500
16 , 17,  0.002  ,  500
16 , 19,  0.002  ,  500
17 , 18,  0.002  ,  500
17 , 22,  0.002  ,  500
18 , 21,  0.002  ,  1000
19 , 20,  0.002  ,  1000
20 , 23,  0.002  ,  1000
21 , 22,  0.002  ,  500
